Company,Revenue,Percent,Comments,Targets
NKE,10360000000,2.50%,misses by $609.26M,Missed
JBL,6830000000,11.48%,beats by $256.50M,Achieved
MOTS,36000,-63.64%,misses by $36.67K,Missed
TITN,436000000,24.42%,beats by $67.08M,Achieved
OLLI,515760000,22.10%,beats by $20.82M,Achieved
VOLT,217960000,0.09%,beats by $7.46M,Achieved
AGEN,31270000,-9.38%,beats by $15.03M,Achieved
SMAR,109870000,39.93%,beats by $7.18M,Achieved
WPM,286210000,28.22%,misses by $10.11M,Missed
VIVE,1950000,34.18%,beats by $92.00K,Achieved
URGN,7970000,9.38%,beats by $397.86K,Achieved
PD,59280000,29.09%,beats by $1.80M,Achieved
OTCM,19780000,23.17%,beats by $2.50M,Achieved
FDX,21500000,22.95%,beats by $1.56B,Achieved
DG,8410000000,17.56%,beats by $126.36M,Achieved
KIN,951000,-32.12%,misses by $95.29K,Missed
FIVE,858510000,24.94%,beats by $19.08M,Achieved
WB,513410000,9.67%,beats by $17.00M,Achieved
REI,31350000,-39.98%,beats by $2.31M,Achieved
WSM,2290000000,24.36%,beats by $112.56M,Achieved
AXU,503620,-88.62%,beats by $191.62K,Achieved
